Code,SECTIONNO,TITLE,FACULTY,CREDITS,INSTRUCTORFULLNAME,SCHEDULEFORPRINT
"
CS240L,B,Bilgisayar Mimarisi- Lab.,Mühendislik Fakültesi,0,İSMAİL AKTÜRK,"Perşembe | 11:40 - 14:30
"
CS320,A,Yazılım Mühendisliği,Mühendislik Fakültesi,6,HASAN SÖZER,"Pazartesi | 12:40 - 15:30
"
CS333,A,Algoritma Analizi,Mühendislik Fakültesi,6,EMRE SEFER,"Salı | 12:40 - 14:30
Çarşamba | 08:40 - 10:30
"
CS350,A,İşletim Sistemleri,Mühendislik Fakültesi,6,İSMAİL ARI,"Çarşamba | 15:40 - 18:30
"
CS391,A,Web Uygulama Geliştirme (Sertifika Seçmeli),Mühendislik Fakültesi,4,ESMA MERAL,"Perşembe | 11:40 - 14:30
"
CS399,A,Haberleşme Güvenliği (Sertifika Seçmeli),Mühendislik Fakültesi,4,HACI HAKAN KILINÇ,"Cuma | 14:40 - 17:30
"
CS409,A,İleri C++ Programlama,Mühendislik Fakültesi,6,MUSTAFA FURKAN KIRAÇ,"Salı | 13:40 - 16:30
"
CS418,A,Ağ Üzerinden Eğlence,Mühendislik Fakültesi,6,ALİ CENGİZ BEĞEN,"Cuma | 08:40 - 11:30
"
CS419,A,Paralel Hesaplama,Mühendislik Fakültesi,6,NİTEL MUHTAROĞLU,"Salı | 10:40 - 11:30
Cuma | 08:40 - 10:30
"
CS443,A,İşlemci Mikromimarisi,Mühendislik Fakültesi,6,İSMAİL AKTÜRK,"Pazartesi | 12:40 - 15:30
"
CS445,A,Pekiştirmeli Derin Öğrenme,Mühendislik Fakültesi,6,ERHAN ÖZTOP,"Pazartesi | 15:40 - 18:30
"
CS446,A,Network Teknolojilerinin Güvenliği,Mühendislik Fakültesi,6,KÜBRA KALKAN ÇAKMAKCİ,"Pazartesi | 12:40 - 15:30
"
CS447,A,Bilgisayar Ağları,Mühendislik Fakültesi,6,MEHMET REHA CİVANLAR,"Pazartesi | 19:40 - 21:30
Salı | 19:40 - 20:30
"
CS449,A,Doğal Dil İşlemeye Giriş,Mühendislik Fakültesi,6,OLCAY TANER YILDIZ,"Pazartesi | 09:40 - 12:30
"
CS451,A,Yapay Zekaya Giriş,Mühendislik Fakültesi,6,OLCAY TANER YILDIZ,"Salı | 10:40 - 13:30
"
CS452,A,Python ile Veri Bilimi,Mühendislik Fakültesi,6,EMRE SEFER,"Çarşamba | 13:40 - 16:30
"
CS454,A,Yapay Sinir Ağları ve Otomatik Öğrenmeye Giriş,Mühendislik Fakültesi,6,AHMET İBRAHİM ETHEM ALPAYDIN,"Perşembe | 08:40 - 11:30
"
CS466,A,Derin Öğrenmeye Giriş,Mühendislik Fakültesi,6,HASAN FEHMİ ATEŞ,"Perşembe | 14:40 - 17:30
"
CS476,A,Çevik Yazılım Geliştirme,Mühendislik Fakültesi,6,EMRE KAPLAN,"Cuma | 14:40 - 17:30
"
EE201,A,Sinyaller ve Sistemler,Mühendislik Fakültesi,6,ÇİĞDEM EROĞLU ERDEM,"Salı | 10:40 - 12:30
Çarşamba | 12:40 - 13:30
"
EE202,A,Devre Analizi,Mühendislik Fakültesi,6,TAYLAN AKDOĞAN,"Pazartesi | 12:40 - 14:30
Salı | 14:40 - 16:30
"
EE202L,A,Devre Analizi - Lab.,Mühendislik Fakültesi,0,TAYLAN AKDOĞAN,"Cuma | 14:40 - 17:30
"
EE202L,B,Devre Analizi - Lab.,Mühendislik Fakültesi,0,TAYLAN AKDOĞAN,"Perşembe | 13:40 - 16:30
"
EE203,A,Sayısal Sistemler,Mühendislik Fakültesi,6,İLKER HAMZAOĞLU,"Pazartesi | 08:40 - 11:30
"
EE203L,A,Sayısal Sistemler - Lab.,Mühendislik Fakültesi,0,İLKER HAMZAOĞLU,"Cuma | 08:40 - 11:30
